Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Receptor,Standard Value
CHEMBL182418,,,353.4,0.0,2.82,21,C[C@H](Nc1nc(N)nc(NCCc2ccccn2)n1)c1ccc(F)cc1,Ki,'=',nM,8.05,,,UO_0000065,22.77,0.42,5.23,7.92,0,CHEMBL828254,Binding affinity against 5-Hydroxy tryptamine 7 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1137159,1,Scientific Literature,Bioorg Med Chem Lett,2004,,,,,9.0,5HT7,9.0
CHEMBL1836783,,,498.86,1.0,6.38,1m,CCC1(CCCCN2CCN(c3ccc(Cl)cc3)CC2)C(=O)Nc2c1cc(Cl)c(F)c2Cl,Ki,'=',nM,7.02,,,UO_0000065,14.07,0.3,0.64,19.72,0,CHEMBL1837760,Displacement of [3H]CT from human 5-HT7 receptor expressed in CHO cells by scintillation spectrometry,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1833955,1,Scientific Literature,J Med Chem,2011,CHEMBL3308072,,,,96.0,5HT7,96.0
CHEMBL3262421,,,323.44,0.0,3.12,14u,O=Cc1cccc(NCCCN2CCN(c3ccccc3)CC2)c1,Ki,'=',nM,7.88,,,UO_0000065,24.36,0.45,4.76,22.15,0,CHEMBL3270013,Displacement of [3H]5-HT from human 5-HT7 receptor expressed in HEK293 cells after 30 mins by microbeta counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3259775,1,Scientific Literature,Eur J Med Chem,2014,CHEMBL3307715,,,,13.2,5HT7,13.2
CHEMBL3215835,,,504.44,0.0,3.69,41,O=c1c2cnc3ccccc3c2ncn1CCCCN1CCN(c2ccccc2F)CC1,Ki,'=',nM,6.13,,,UO_0000065,14.21,0.26,2.44,11.3,0,CHEMBL1817054,Displacement of [3H]-5-CT from human 5-HT7b receptor expressed in HEK293 cells by radioligand binding assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1811770,1,Scientific Literature,Eur J Med Chem,2011,CHEMBL3307715,,,,739.0,5HT7,739.0
CHEMBL81449,,,287.41,0.0,2.29,37,COc1ccc2ccn(CCN3CCCN(C)CC3)c2c1,Ki,'=',nM,5.8,,,UO_0000065,20.19,0.38,3.51,28.12,0,CHEMBL620830,Binding affinity towards human 5-hydroxytryptamine 7 receptor on HEK293 cells using radioligand [3H]LSD,B,BAO_0000219,cell-based format,,,,HEK293,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135860,1,Scientific Literature,Bioorg Med Chem Lett,2002,CHEMBL3307715,,,,1573.0,5HT7,1573.0
CHEMBL542139,,,488.46,0.0,4.08,"15, SB-271046",COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1,Ki,'=',nM,5.4,,,UO_0000065,11.95,0.25,1.32,7.64,0,CHEMBL619898,Compound was tested for its binding affinity against human cloned 5-hydroxytryptamine 7 receptor in HEK 293 cells using [3H]5-CT,B,BAO_0000219,cell-based format,,,,HEK293,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1132410,1,Scientific Literature,J Med Chem,1999,CHEMBL3307715,,,,-5.4,5HT7,3981.07
CHEMBL12702,,,419.57,0.0,4.21,1,COc1ccccc1N1CCN(CCCCC23CCCc4cccc(c42)NC3=O)CC1,Ki,'=',nM,8.67,,,UO_0000065,20.66,0.38,4.46,19.35,0,CHEMBL927089,Displacement of [3H]LSD from human recombinant 5HT7 receptor expressed in CHO cells,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1144747,1,Scientific Literature,J Med Chem,2008,CHEMBL3308072,,,,-8.67,5HT7,2.138
CHEMBL9615,,,363.5,0.0,4.76,6,O=C1c2ccccc2CCCC1CCN1CCC(Oc2ccccc2)CC1,Ki,'=',nM,7.6,,,UO_0000065,20.91,0.38,2.84,25.73,0,CHEMBL618161,Binding affinity at human cloned 5-hydroxytryptamine 7 receptor.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136643,1,Scientific Literature,Bioorg Med Chem Lett,2003,,,,,-7.6,5HT7,25.12
CHEMBL71224,,,443.59,1.0,5.0,26d,COCn1c2c(c3ccccc31)CCN(CCCCC13CCCc4cccc(c41)NC3=O)C2,Ki,'=',nM,7.77,,,UO_0000065,17.52,0.32,2.77,16.71,0,CHEMBL618165,Binding affinity to human recombinant 5-hydroxytryptamine 7 receptor in mammalian cells using [3H]5-CT as radioligand,B,BAO_0000219,cell-based format,,,,,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136048,1,Scientific Literature,J Med Chem,2002,,,,,-7.77,5HT7,16.98
CHEMBL304731,,,400.57,1.0,5.48,25b,Cc1ccc(C2=CCN(CCCCC34CCCc5cccc(c53)NC4=O)CC2)cc1,Ki,'=',nM,8.32,,,UO_0000065,20.77,0.38,2.84,25.73,0,CHEMBL618165,Binding affinity to human recombinant 5-hydroxytryptamine 7 receptor in mammalian cells using [3H]5-CT as radioligand,B,BAO_0000219,cell-based format,,,,,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136048,1,Scientific Literature,J Med Chem,2002,,,,,-8.32,5HT7,4.786
CHEMBL275996,,,393.38,0.0,4.12,11,CC1CCN(CC[C@@H](C)N(C)S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1,Ki,'=',nM,7.5,,,UO_0000065,19.07,0.43,3.38,18.46,0,CHEMBL619901,Binding affinity towards cloned human 5-hydroxytryptamine 7 receptor expressed in HEK 293 cells using [3H]5-CT,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1131479,1,Scientific Literature,J Med Chem,1998,CHEMBL3307715,,,,-7.5,5HT7,31.62
CHEMBL158402,,,264.44,0.0,3.78,5c,CN(C)CCSc1cccc(C2CCCCC2)n1,Ki,'=',nM,9.15,,,UO_0000065,34.62,0.69,5.37,56.76,0,CHEMBL620825,Binding affinity towards human 5-hydroxytryptamine 7 receptor by the displacement of [3H]-5-HT radioligand from the cloned receptor expressed in CHO cells,B,BAO_0000219,cell-based format,,,,CHO,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1147426,1,Scientific Literature,Bioorg Med Chem Lett,2004,CHEMBL3308072,,,,0.7,5HT7,0.7
CHEMBL204171,,,369.53,0.0,4.22,8h,O=S(=O)(c1ccccc1)C1(CCCN2CCc3ccccc3C2)CCC1,Ki,'=',nM,8.1,,,UO_0000065,21.91,0.43,3.88,21.66,0,CHEMBL865587,Displacement of [3H]5-HT from the cloned human 5-HT7 receptor expressed in CHO cells,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139656,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3308072,,,,8.0,5HT7,8.0
CHEMBL497749,,,439.58,0.0,3.34,II,COc1ccccc1N1CCN(CCCNS(=O)(=O)c2ccc3ccccc3c2)CC1,Ki,'=',nM,7.7,,,UO_0000065,17.51,0.34,4.36,12.44,0,CHEMBL1059153,Binding affinity to human cloned 5HT7 receptor expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1154019,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3307715,,,,20.0,5HT7,20.0
CHEMBL550881,,,481.62,0.0,2.86,"12{2,3,4}",COc1ccccc1N1CCN(C(=N)NCCCNS(=O)(=O)c2cccc3ccccc23)CC1,Ki,'=',nM,6.71,,,UO_0000065,13.93,0.27,3.85,6.86,0,CHEMBL1059153,Binding affinity to human cloned 5HT7 receptor expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1154019,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3307715,,,,195.0,5HT7,195.0
CHEMBL2442272,,,305.13,0.0,1.93,3c,N=C1NC(=O)/C(=C\c2c[nH]c3ccc(Br)cc23)N1,Ki,'=',nM,6.29,,,UO_0000065,20.62,0.48,4.36,7.79,0,CHEMBL2445940,Displacement of [3H]LSD from human recombinant 5HT7 receptor stably expressed in HEK cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2440075,1,Scientific Literature,Bioorg Med Chem,2013,CHEMBL3307715,,,,512.0,5HT7,512.0
CHEMBL182797,,,350.43,0.0,3.12,(+/-)-9,CC(Nc1nc(N)nc(NCCOc2ccccc2)n1)c1ccccc1,Ki,'=',nM,8.1,,,UO_0000065,23.11,0.43,4.98,8.26,0,CHEMBL828254,Binding affinity against 5-Hydroxy tryptamine 7 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1137159,1,Scientific Literature,Bioorg Med Chem Lett,2004,,,,,8.0,5HT7,3.0
CHEMBL182174,,,350.43,0.0,3.12,10,C[C@H](Nc1nc(N)nc(NCCOc2ccccc2)n1)c1ccccc1,Ki,'=',nM,8.52,,,UO_0000065,24.32,0.45,5.4,8.7,0,CHEMBL828254,Binding affinity against 5-Hydroxy tryptamine 7 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1137159,1,Scientific Literature,Bioorg Med Chem Lett,2004,,,,,3.0,5HT7,3.0
CHEMBL12389,,,374.55,0.0,3.97,2,C[C@@H]1CCCN(CC[C@@H](C)N(C)S(=O)(=O)c2cccc3ccccc23)C1,Ki,'=',nM,6.9,,,UO_0000065,18.42,0.36,2.93,16.99,0,CHEMBL619901,Binding affinity towards cloned human 5-hydroxytryptamine 7 receptor expressed in HEK 293 cells using [3H]5-CT,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3155,Serotonin 7 (5-HT7) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1131479,1,Scientific Literature,J Med Chem,1998,CHEMBL3307715,,,,-6.9,5HT7,125.89
