Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Receptor,Standard Value
CHEMBL428879,,,429.47,1.0,6.08,15,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccc(-c3cccnc3)c1)CC2,Ki,'=',nM,7.1,,,UO_0000065,16.53,0.32,1.02,15.7,0,CHEMBL616877,"Binding affinity towards human cloned 5-hydroxytryptamine receptor 2A in HEK293 cells, using [3H]ketanserin as radioligand.",B,BAO_0000219,cell-based format,,,,HEK293,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1132976,1,Scientific Literature,J Med Chem,2000.0,CHEMBL3307715,,,,-7.1,5HT2A,79.43
CHEMBL4072821,,,452.56,0.0,3.5,12c,CCOC(=O)c1cc2cc(OCCCCN3CCN(c4ccccc4OC)CC3)ccn2n1,Ki,'=',nM,7.11,,,UO_0000065,15.71,0.29,3.61,10.37,0,CHEMBL4010158,Displacement of [3H]ketanserin from human 5-HT2A receptor expressed in HEK293T cell membranes after 2 hrs by scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK-293T,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4007455,1,Scientific Literature,J Med Chem,2017.0,CHEMBL3706569,,,,78.0,5HT2A,78.0
CHEMBL43697,,,290.41,0.0,4.99,11,CN1CCCCC1c1c(-c2ccccc2)[nH]c2ccccc12,Ki,'=',nM,7.85,,,UO_0000065,27.04,0.49,2.86,41.27,0,CHEMBL617063,Ability to displace [3H]ketanserin binding to human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,B,BAO_0000219,cell-based format,,,,CHO,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134475,1,Scientific Literature,J Med Chem,2001.0,CHEMBL3308072,,,,14.0,5HT2A,14.0
CHEMBL40816,,,224.25,0.0,2.48,2d,CN(C)CCn1ccc2cc(F)c(F)cc21,Ki,'=',nM,6.64,,,UO_0000065,29.6,0.57,4.16,81.25,0,CHEMBL617520,Displacement of [3H]DOB from human 5-hydroxytryptamine 2A receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135367,1,Scientific Literature,Bioorg Med Chem Lett,2002.0,,,,,230.0,5HT2A,230.0
CHEMBL280297,,,489.5,1.0,7.04,35,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(-c3ccccc3)cc(-c3cccnc3)c1)CC2,Ki,'=',nM,6.2,,,UO_0000065,12.67,0.24,-0.84,11.38,0,CHEMBL616877,"Binding affinity towards human cloned 5-hydroxytryptamine receptor 2A in HEK293 cells, using [3H]ketanserin as radioligand.",B,BAO_0000219,cell-based format,,,,HEK293,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1132976,1,Scientific Literature,J Med Chem,2000.0,CHEMBL3307715,,,,-6.2,5HT2A,630.96
CHEMBL523245,,,330.35,0.0,4.53,35,Fc1ccc(-c2[nH]c3cc(F)ccc3c2[C@@H]2CNCC[C@H]2F)cc1,Ki,'=',nM,9.92,,,UO_0000065,30.03,0.56,5.39,35.66,0,CHEMBL617063,Ability to displace [3H]ketanserin binding to human 5-hydroxytryptamine 2A receptor stably expressed in CHO cells,B,BAO_0000219,cell-based format,,,,CHO,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134475,1,Scientific Literature,J Med Chem,2001.0,CHEMBL3308072,,,,0.12,5HT2A,0.12
CHEMBL162768,,,467.61,0.0,4.92,12,CC(=O)Nc1cc(F)ccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCCS3,Ki,'=',nM,9.1,,,UO_0000065,19.45,0.38,4.18,17.28,0,CHEMBL617346,Binding affinity towards 5-hydroxytryptamine 2A receptor using [125I]DOI as radioligand.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1144968,1,Scientific Literature,Bioorg Med Chem Lett,2003.0,,,,,0.8,5HT2A,0.8
CHEMBL3290011,,,473.6,0.0,4.73,71,O=S(=O)(NCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2ccccc2s1,Ki,'=',nM,9.05,,,UO_0000065,19.1,0.39,4.32,11.99,0,CHEMBL3297243,Displacement of [3H]ketanserin from human recombinant 5-HT2A receptor expressed in CHO-K1 cell membrane after 60 mins by liquid scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3286108,1,Scientific Literature,J Med Chem,2014.0,CHEMBL3307512,,,,0.9,5HT2A,0.9
CHEMBL300780,,,494.47,1.0,5.9,"3, NGB2904",O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2,Ki,'=',nM,6.17,,,UO_0000065,12.47,0.25,0.27,17.34,0,CHEMBL895656,Binding affinity to human 5HT2A receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1148745,1,Scientific Literature,J Med Chem,2007.0,,,,,679.0,5HT2A,679.0
CHEMBL42,CLOZAPINE,4.0,326.83,0.0,3.72,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Ki,'=',nM,8.05,,,UO_0000065,24.63,0.48,4.33,26.08,1,CHEMBL992750,Binding affinity to human cloned 5HT2A receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1155799,1,Scientific Literature,Bioorg Med Chem,2008.0,,,,,8.9,5HT2A,1.199
